New ID	Old ID
IGHV1-1.1*01	LJI.Rh_IGHV1.170,VH1.59,lcl|KU593221.1
IGHV1-2.1*01	LJI.Rh_IGHV1.142,IGHV1-AFS*04
IGHV1-3.1*01	IGHV1-AAU*02
IGHV1-3.2*01	VH1.36,IGHV1-AAU*01
IGHV1-3.3*01	LJI.Rh_IGHV1.58
IGHV1-3.4*01	LJI.Rh_IGHV1.138
IGHV1-4.1*01	LJI.Rh_IGHV1.105,VH1.23
IGHV1-5.1*01	LJI.Rh_IGHV1.84,VH1.53,lcl|KU593219.1
IGHV1-5.2*01	IGHV1-AGS*02
IGHV1-5.3*01	IGHV1-AGS*01,IGHV1-ABW*01
IGHV1-5.4*01	lcl|KU593220.1
IGHV1-6.1*01	IGHV1-AAU*03
IGHV1-7.1*01	IGHV1-1*01,LJI.Rh_IGHV1.124,VH1.16
IGHV1-7.2*01	IGHV1-AEP*02
IGHV1-8.1*01	LJI.Rh_IGHV1.60,IGHV1-AHF*06
IGHV1-8.2*01	VH1.61
IGHV2-1.1*01	IGHV2-2*01,LJI.Rh_IGHV2.7,VH2.3,IGHV2-ACK*02
IGHV2-1.2*01	IGHV2-ACK*01
IGHV2-2.1*01	LJI.Rh_IGHV2.173,VH2.25,lcl|KU593223.1
IGHV2-2.2*01	IGHV2-ABG*02
IGHV2-2.3*01	lcl|KU593225.1
IGHV2-2.4*01	lcl|KU593222.1
IGHV2-2.5*01	IGHV2-1*01,LJI.Rh_IGHV2.118,VH2.12
IGHV2-3.1*01	IGHV2-AEI*01
IGHV2-4.1*01	LJI.Rh_IGHV2.69,VH2.62,lcl|KU593224.1
IGHV3-1.1*01	VH3.29,lcl|KU593228.1,IGHV3-ACA*01
IGHV3-1.2*01	IGHV3-5*01,VH3.19
IGHV3-2.1*01	IGHV3-6*01,LJI.Rh_IGHV3.128,VH3.18
IGHV3-3.1*01	IGHV3-ADO*02
